Camera,Min,Q1 (25%),Median (50%),Q3 (75%),Max
Camera1_Performance,14.901905988337008,33.6485267880286,39.28891295048912,44.96100531752128,65.74673872546785
Camera2_Performance,15.99877023879288,33.86371102590251,39.9945508624104,45.44843569932893,64.3096495508936
Camera3_Performance,14.31181611301212,33.54073222212452,39.55959056290804,45.37566537379728,66.82280638320589
Camera4_Performance,4.63456513558648,20.74351480185296,28.6720680187771,38.6397069124258,61.130979257676685
Camera5_Performance,18.78223393734844,31.039623293025862,38.26713227633896,43.55586645397136,59.02057637254284
Camera6_Performance,16.87622144551836,35.0846039674684,41.03008664932968,46.08989885036816,60.80585285950719
