Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance
1,61.46899149542201,54.64675515498016,59.453102165790206,49.17308061125737,0.0,35.60992915398612
2,41.39079903556856,44.7747055377974,39.716212513768724,38.98547013059213,0.0,0.0
3,56.32671467647472,49.434823698000244,51.51134001725757,43.817902606193115,0.0,40.40096132154212
4,57.25825569097632,43.95289404764464,47.73583651510568,46.7603932838756,0.0,25.907283063468522
5,44.50525382875672,51.250059314749286,29.347020074194685,29.616249542411882,0.0,27.55369838771348
6,40.042867821204595,30.18351775128772,54.835409012398564,25.07832582007712,37.84996908255772,0.0
7,59.36742272886468,39.77609204575968,40.20509703286357,34.59147721123013,0.0,42.199885082226565
8,58.05167176830528,49.803643026551924,50.33027311113045,56.71314274703023,0.0,29.881493893096916
9,40.63563132691689,56.107407499220926,50.64263401492752,44.194310194881204,0.0,52.46429746814256
10,35.88069672079597,50.87873676895253,42.350903942906484,18.078848646434885,0.0,39.00887321298436
11,49.65340906206632,42.00187376234936,49.366427949715245,36.31290627934972,0.0,37.50823530575664
12,50.14665886884101,36.705983809867206,44.06021165141033,32.91417300534204,23.129162007472644,0.0
13,54.370370532627,47.694335006436326,40.08206465036961,57.80732425765772,0.0,26.11703163480644
14,37.34741268432188,50.80411667554476,25.55193286903136,21.511466954210924,0.0,49.12188269912584
15,56.01188262545285,51.8921792561662,31.409351234531602,35.82616413144744,57.357645463110885,0.0
16,55.221338490531004,61.62338180939604,41.75161526571472,53.535697759308555,0.0,0.0
17,46.21383031481828,50.789763119466926,48.308948516400044,32.91308219362028,0.0,53.25533768035653
18,46.39502699359153,47.743137294938286,56.16389784204312,46.15795619670601,0.0,0.0
19,44.92420151997589,51.243334806606036,41.145835769311006,23.013684651969964,57.99516840442864,43.99752839744357
20,31.06384270708176,52.53497673685492,30.293451871780686,27.786671730702317,0.0,0.0
21,63.15338223702645,34.72867568652528,49.78558378460692,51.38529898002864,0.0,58.01124751622972
22,57.84371797752392,61.07551697981637,43.11849760306025,31.542719483293563,0.0,53.62209396795636
23,51.63663747482901,39.50105571956796,41.77156914818768,56.90297761699408,0.0,48.74956963729689
24,49.07974082697572,56.114737385560964,27.759204045171515,32.2877113667276,0.0,47.48590699461652
25,33.265842457394726,38.43291955267976,31.04589938492849,33.72898240107648,0.0,0.0
26,39.29253892895141,45.12454085897908,27.348993069875117,30.463771132427688,0.0,49.46733300455897
27,34.967737747920005,41.339139896450035,44.1621451293634,21.394568248574764,39.14335587442568,0.0
28,47.198293518359286,52.54520661230704,39.04745391733168,33.67435419912448,0.0,0.0
29,43.72433377413504,49.32996705628828,42.15061625517056,42.88355877589732,0.0,49.27349575875636
30,32.61501780343215,53.756510521823195,47.3045225885586,39.90675558700259,0.0,0.0
