Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance,Camera8_Performance,Camera9_Performance,Camera10_Performance,Camera11_Performance
1,38.27570422715,28.488594280206,54.157532817544364,57.0343499985426,0.0,46.1740617569238,0.0,47.71751815720724,42.553363009675046,49.42356023387349,0.0
2,34.22754913169152,36.88189679860212,30.822062122634403,31.181750018603722,0.0,0.0,0.0,28.52079177772752,0.0,50.486881500498804,0.0
3,43.92771393952397,33.97465631181448,36.982897630792124,38.22529746555784,0.0,48.46115645917076,0.0,29.322962491862327,33.09536486947212,46.626125820549525,0.0
4,33.03815532998536,43.676221240270124,50.46429746814256,41.821427671623155,0.0,29.18664204256344,0.0,57.18220892705792,40.658388857258196,39.67101250338621,0.0
5,35.13399082003964,43.12430305784461,33.1820393486416,21.2449865336948,0.0,33.12341497062105,46.334119351866086,42.5224067894856,45.77115793149549,0.0,0.0
6,30.397668823730285,22.21068785556048,32.943356413310596,15.433126822602802,28.24732639540548,0.0,0.0,44.527033104465595,0.0,0.0,40.8312060529638
7,50.46005187042708,31.2533903763784,52.29283294117239,26.68410635279252,0.0,35.5968596471014,40.59950256726032,35.2519749880328,44.82116933029696,0.0,0.0
8,33.3817227232916,42.66452293718404,40.99752839744356,27.541104400100398,0.0,42.091813032914885,0.0,55.01124751622972,51.1788920936712,45.18482596989632,0.0
9,39.532498711966326,37.32543653728641,45.74956963729689,30.151576486256083,0.0,44.20211525843424,0.0,46.273495758756354,35.1180953387102,40.39896805783252,0.0
10,28.034188917499357,42.2947545623356,49.997745416713876,6.820054737825119,0.0,37.547534785759005,43.56460849131596,49.425963223367084,22.25491695887296,0.0,0.0
11,38.035896700160045,36.893763849590286,45.39661694493908,21.36576576660484,0.0,33.37566736377448,36.476579732979566,39.378727853313436,27.55960517018548,0.0,0.0
12,43.293346194100494,25.831774912150763,34.748979559104285,26.060860330601525,41.08767081865672,0.0,0.0,37.137359184708885,0.0,0.0,49.33455587801412
13,30.20154455963692,36.00145209929228,52.06620079224928,36.06157008600136,0.0,43.19301738055824,0.0,49.81191363936384,63.80709211360512,46.29504459561504,0.0
14,44.09527059272632,44.71167920191416,51.46798443859696,21.51996749597488,0.0,47.7776506389076,41.04468523903124,51.698195478313245,39.40661142499712,0.0,0.0
15,46.87657355906712,43.871123323038915,31.9143356280932,26.69085506506172,24.910978031208636,0.0,0.0,46.05654333199756,0.0,0.0,49.72200281367132
16,48.51054310225428,55.150185740200605,26.917786286580082,48.427635430707205,0.0,0.0,0.0,44.03810941213601,0.0,24.935251818949844,0.0
17,42.62855240923544,39.62701691536312,38.519223569010286,25.31796242422672,0.0,44.33099413311776,33.303282883151205,41.081326736914605,33.17187681908436,0.0,0.0
18,39.98297117121277,39.525717720450245,43.562943426857245,46.02997736603384,0.0,0.0,0.0,47.98384573699088,0.0,48.5548842088062,0.0
19,45.52210124195872,25.314944332605922,29.228314221808727,21.377234526948882,26.55369838771348,44.730387109881164,0.0,41.1801669425936,32.200201531477,0.0,41.19988508222656
20,26.254191897950285,45.680086127977724,43.67869860944956,20.04312574555508,0.0,0.0,0.0,43.39840546075672,0.0,26.144286235220243,0.0
21,26.141209633420004,32.3811376861784,48.95175236568956,28.79386547094936,0.0,40.0996115530578,0.0,54.162550889026605,36.79796537845797,33.486712393856806,0.0
22,48.61580749250452,53.916162162517125,48.70690450127167,22.01790534008136,0.0,46.71107374554252,47.38595700487724,43.07590140335696,38.72097195838936,0.0,0.0
23,38.33593167900944,37.87074098227452,41.90565970607816,41.01108268851044,0.0,21.718214959179207,0.0,44.7412094543248,46.10826824284988,50.87561384446564,0.0
24,50.56468517658737,49.65956748106996,49.16140267581668,26.30099849423036,0.0,28.06701938564472,27.497204470811,38.33658930193044,50.02840589033279,0.0,0.0
25,28.121428146633082,30.470235398826002,41.6165179922946,16.53965025461476,0.0,0.0,0.0,42.61750584223528,0.0,32.445014915286244,0.0
26,38.84132403824072,35.95930304539064,51.40935291385309,16.79202946024812,0.0,34.121134952574565,31.992606916590837,29.388338803832365,21.14495079557912,0.0,0.0
27,27.37010645734016,32.50780801012996,32.5988768537764,13.796936957994918,41.01061381079532,0.0,0.0,37.897472687943164,0.0,0.0,27.6483740665382
28,37.631116780461085,44.2227883142712,38.116199635013004,41.93807866823012,0.0,0.0,0.0,42.177342186395606,0.0,25.80430734091836,0.0
29,30.840667245965847,45.465554183319,40.45961875734989,32.58807359583548,0.0,49.69280094112264,0.0,42.82016466069788,32.33480725425056,43.08631226788048,0.0
30,22.5524029359896,47.053393951630845,50.7734942090698,37.54447028787,0.0,0.0,0.0,38.16874984020692,0.0,45.492476699061285,0.0
31,41.749593275566845,43.578115043867086,48.82030487168948,46.7247211910046,0.0,0.0,0.0,17.84593677453368,0.0,58.03874250416956,0.0
32,36.1070932528566,37.2400854543608,44.30425420049588,31.6290483811886,0.0,0.0,0.0,52.51843002525855,0.0,46.6602888783586,0.0
33,39.458206233329044,53.774410939939955,49.14691905427896,40.83411340016164,0.0,0.0,0.0,31.854451844034244,0.0,35.2323797162542,0.0
34,31.951592305811715,47.37175998589828,41.897287072235045,29.168457269353397,0.0,31.715733889941923,0.0,37.583869080179596,43.14524133346672,45.56458299716909,0.0
35,23.11073104758216,28.472987968948882,29.168992239998442,8.828767796523723,0.0,30.084275823866758,41.77100276926644,39.468419071456594,39.58872588646379,0.0,0.0
36,27.907391850686402,39.70956759862792,48.27895921178852,13.516402645018118,38.00887321298436,65.65895847388805,0.0,48.99291041872632,29.531689621668843,0.0,36.50823530575664
37,34.93833289013952,44.0835797718748,36.76887713119088,17.75068540919356,25.584987990029678,0.0,0.0,48.10845016154468,0.0,0.0,42.42199848418808
38,35.927204361918726,34.01704332470704,31.45001442630712,27.440397846140563,0.0,0.0,0.0,34.685033158709565,0.0,38.255720616414756,0.0
39,46.36560356777445,42.98894731636484,30.45811284465828,31.609777033046004,0.0,40.84230476406764,16.9567024872382,39.13382126179364,48.98732233730889,0.0,0.0
40,31.7737921076904,50.718015676910724,32.597736821558485,13.08891964186052,0.0,49.79613705469664,32.71562156278425,44.39906884339676,48.619324989558564,0.0,0.0
41,37.57314453753284,42.830886617388195,42.491953270250484,13.26601013738268,0.0,35.79766717318497,34.696466673857365,39.21303139008736,29.05309514551252,0.0,0.0
42,35.77896361650021,42.9158677714598,37.48982454144743,14.85679192653244,0.0,42.66580954714484,42.84344094731777,46.01801459533916,45.04770706735236,0.0,0.0
43,39.10481383766496,43.04351106163005,39.46433973180689,42.7783056844074,0.0,37.96528300997789,0.0,37.85925093594052,43.3844031447906,23.8835163360334,0.0
44,37.1322563270894,43.269270977680286,26.856693941911082,28.58122657046756,0.0,51.84885690032963,55.305546277897044,32.44161053240156,56.75952581749124,0.0,0.0
45,33.91902783547033,42.60617964943396,39.05660929030568,39.474240888466284,0.0,35.8985317121056,0.0,50.185736314167315,25.014729310863604,29.185885587712157,0.0
46,22.183918205415797,35.100876854588726,38.91023789850364,17.22729531461268,40.84220265068972,0.0,0.0,53.075095945401074,0.0,0.0,44.91048485257676
47,46.74856104498688,41.422781106086724,48.23035367625239,51.41147475855076,0.0,51.465644811382404,0.0,51.11705518160048,41.183702719029405,44.00664686124408,0.0
48,42.50009219194728,45.64308209405984,37.98668878802589,45.21247222168976,0.0,0.0,0.0,34.36089500039236,0.0,34.800679267307395,0.0
49,44.345665823108,39.80600769405588,42.15436779110932,21.77205976897792,0.0,42.65434439139044,38.521025603759,37.44584529745832,30.6439481901702,0.0,0.0
50,34.666119652012405,21.22684013643076,43.976790689818124,34.92664876986248,0.0,0.0,0.0,40.96108231922616,0.0,27.854562790712478,0.0
51,37.63775188270132,32.69582580168652,40.264829378071404,54.07944636156907,0.0,0.0,0.0,56.21841113161501,0.0,32.995940441018725,0.0
52,59.82600270451848,40.2010343495386,48.78665754057607,57.54490611109112,0.0,29.948450083324886,0.0,51.68238249909724,42.767306094185244,37.25452351223508,0.0
53,36.29405217258604,38.23023318728092,30.60251325747848,42.959463175410754,0.0,0.0,0.0,40.85098264561388,0.0,41.30020935034944,0.0
54,49.69547260631029,48.43465746252464,44.91515711044533,29.1022802737476,0.0,45.419964588050085,33.084109538556085,32.6129546437466,39.22868262710484,0.0,0.0
55,25.196194925025562,29.153516755250365,44.32967539280588,14.90387919762548,48.34864441327672,0.0,0.0,51.27610342750499,0.0,0.0,34.570157987549045
56,28.95924765932608,29.940305521417642,39.68038292591544,12.762242111383722,0.0,43.50370701866716,39.602386711856475,42.25160554719728,35.698527104351086,0.0,0.0
57,25.7757269455446,25.211014201984806,32.99225764327248,10.660087858579802,0.0,35.77450008517881,39.8089137326008,41.996551071731794,50.73663436107992,0.0,0.0
58,41.990859324869,18.91428423767596,36.66405070355,39.489963782089724,0.0,0.0,0.0,35.65104360702072,0.0,43.879993749397514,0.0
59,46.113183242918645,52.955212164273966,27.17107102485944,36.068427551072155,0.0,0.0,0.0,34.86625999032324,0.0,37.1373399962244,0.0
60,25.004730283489156,52.03647232708673,27.94367397810448,25.008208898270478,0.0,0.0,0.0,48.89649866457296,0.0,34.31392371726524,0.0
61,36.70842824407724,33.45928104006328,41.535266216204846,35.98933496338084,0.0,35.19829424618116,0.0,57.68687827000916,60.661182009603934,38.668591149992,0.0
62,43.603948513357636,30.087445621092478,35.75066926408884,25.8919932113296,0.0,49.62396202967808,28.090537736066963,38.35510816533072,53.90768098378537,0.0,0.0
63,39.58391254940412,45.62869414582569,34.346475508111084,49.04076297688456,0.0,0.0,0.0,42.02378777081957,0.0,38.909336662186846,0.0
64,49.68110930613183,35.42041109466064,50.91949723622916,30.483546782457637,0.0,0.0,0.0,46.842365459104194,0.0,48.38282547464415,0.0
65,39.306940524290326,46.50989833399605,46.30737404394765,40.90481646324389,0.0,54.3711016041732,0.0,33.94466283620873,49.255383131687324,58.25207539370797,0.0
66,32.64539583226272,42.863107272254844,29.46143296549344,22.4805678773782,0.0,42.226065663049006,43.866957943651684,49.12708351737084,39.17629473931548,0.0,0.0
67,35.50950972713804,40.447743217354834,41.92979574717452,26.440031486598244,0.0,0.0,0.0,43.073350540483325,0.0,46.516302234027,0.0
68,25.716699366219043,25.417606383442358,46.99906284445688,16.119839771336643,40.11549204146048,0.0,0.0,37.06059673784932,0.0,0.0,39.52963285558984
69,38.147862734633804,50.30364357472741,44.543408425115715,43.985581846986044,0.0,0.0,0.0,49.040355170441565,0.0,34.48281851411084,0.0
70,42.445713842452236,53.74644901419893,30.894139633073202,41.911499573692524,0.0,0.0,0.0,53.036773082777366,0.0,58.15021721214109,0.0
71,34.92376860311596,44.456759727484716,52.84245753471536,28.09027628555456,0.0,35.35732926174556,0.0,44.55648617752604,50.16070245428475,32.09505346211128,0.0
72,28.41779701515852,49.7341251407022,47.55714975789797,38.82492251917164,0.0,35.79781430264405,0.0,41.05343963604244,22.892039736582202,45.79409298746684,0.0
73,44.723957306045634,42.0907373562492,53.510777162304414,41.043650500278275,0.0,0.0,0.0,30.143998069131207,0.0,50.41586869039032,0.0
74,31.145028414644884,23.877919903127722,50.35750656851624,9.1388417243178,0.0,41.26780257540696,36.74059739036472,38.152475577329284,38.61064312926317,0.0,0.0
75,39.502532550731075,47.19355387734664,40.445464371781206,17.3695672796362,0.0,45.90493021846552,28.7229570056232,48.66085570781396,18.588226472496235,0.0,0.0
76,44.18323576282124,32.6732800061676,36.46793201346993,21.18913397024584,0.0,30.4546810563032,38.35592760087812,52.73514311296812,35.88423475357181,0.0,0.0
77,47.035033138258406,46.914709624434195,45.36315157878105,24.329687309101285,47.12188269912584,36.45871619391844,0.0,49.32155787523868,25.23554502166248,0.0,51.255337680356526
78,26.791577235676645,38.096626015929004,40.99095000872192,15.465596743477361,0.0,39.80215232328336,34.447370554278244,47.99377076508492,43.92473674892668,0.0,0.0
79,45.01962595319704,30.33647953953108,43.96103337312557,25.408218340061683,0.0,0.0,0.0,57.058419077443524,0.0,37.25617060184272,0.0
80,41.98319643919456,48.560882784453,47.53221674880365,20.61483386863472,52.62209396795636,39.564006253203125,0.0,49.467679495239636,56.43159982529355,0.0,46.48590699461652
81,48.297181765244765,47.278470675836125,38.50678569225284,24.672901657245003,0.0,37.98345638546549,42.51082433949617,53.76830330854705,38.13584655739837,0.0,0.0
82,34.89919315218008,47.61467067525932,48.8907695007206,30.64918229796112,0.0,30.502384593764166,0.0,47.79825409992593,44.53071429916128,32.333805041021954,0.0
83,39.75674045380872,41.29881842752424,32.54047742196444,35.46465975594556,0.0,0.0,0.0,40.4479217586712,0.0,39.2493913524376,0.0
84,50.70963457522908,33.773507665551314,29.49879712446656,49.773257308614035,0.0,42.943223443681084,0.0,49.645993097266036,32.43756585490536,31.288477423375515,0.0
85,30.570173331704236,38.0096390150796,40.00868841165748,21.16572921732,0.0,43.95073489645284,0.0,43.51246810425988,34.6961938558912,30.00797435237976,0.0
86,37.663865466118885,32.788366236889445,40.970417155440764,33.445620478897084,0.0,42.120665631630715,0.0,45.68023812439376,58.268380551311715,42.22396365329276,0.0
87,24.6102710060142,38.99274504084216,43.87604931783115,14.84330084038704,0.0,40.460726743791,30.38049649583764,36.80991507114925,42.066932813286165,0.0,0.0
88,42.06382567360756,32.906211754477646,36.11221704118536,24.29055279029532,31.46803726993692,0.0,0.0,43.33059153560325,0.0,0.0,48.097057847142246
89,41.59698739285925,37.82761880150692,39.4118942012048,52.06473280866256,0.0,0.0,0.0,35.578264750572956,0.0,41.433877497612556,0.0
90,21.578468299180837,41.68797327574512,33.69783480667916,9.34552634332756,36.34997938208944,0.0,0.0,36.89031210841704,0.0,0.0,37.69261180423823
91,39.24000704319612,32.618096079991524,40.37996687555808,61.07617588933493,0.0,0.0,0.0,52.67179961724633,0.0,45.59698818829393,0.0
92,36.810439206663325,28.95108164946012,42.97150270068616,15.28075899677552,0.0,29.8096274505294,28.072178868893438,33.11637863246576,49.01557720644537,0.0,0.0
