Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7,Angle8,Distance8,Density8,Angle9,Distance9,Density9,Angle10,Distance10,Density10,Angle11,Distance11,Density11
 4,5.26837774827372,5.42339214970205,2,7.63786704552908,5.58219041716549,0,0,0,0,5.26837774827372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4,5.26837774827372,5.42339214970205,2,7.63786704552908,5.58219041716549,1,5.05678326469258,5.09731693519742,0,5.26837774827372,0,0,0,0,0,0,0,0,0,0,0,8.49336073795063,6.52256231837721,0,0,0,0,0,0,0,0,0,0
 4,5.26837774827372,5.42339214970205,2,7.63786704552908,5.58219041716549,1,5.05678326469258,5.09731693519742,3,5.26837774827372,0,0,0,0,0,3.73930285182471,3.55735765881615,0,0,0,0,8.49336073795063,6.52256231837721,3,6.79924838110809,3.36534883320646,0,0,0,0,0,0,0
 4,5.26837774827372,5.42339214970205,2,7.63786704552908,5.58219041716549,1,5.05678326469258,5.09731693519742,3,5.26837774827372,0,0,0,0,0,3.73930285182471,3.55735765881615,1,0,0,0,8.49336073795063,6.52256231837721,3,6.79924838110809,3.36534883320646,1,0,0,0,0,0,0
 4,5.26837774827372,5.42339214970205,2,7.63786704552908,5.58219041716549,1,5.46630416038011,8.42554989346043,2,5.26837774827372,0,0,0,0,0,3.73930285182471,3.55735765881615,1,0,0,0,3.27276628282644,4.28954910584302,2,6.79924838110809,3.36534883320646,1,0,0,0,0,0,0
 4,5.26837774827372,5.42339214970205,2,7.63786704552908,5.58219041716549,1,5.46630416038011,8.42554989346043,2,5.26837774827372,7.3692102351115,1,0,0,0,3.73930285182471,3.55735765881615,1,0,0,0,3.27276628282644,4.28954910584302,2,6.79924838110809,3.36534883320646,1,5.47814712413857,5.29236903845383,1,0,0,0
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,0,0,0,0,7.40406238560297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,1,5.95033966534457,3.17094163528023,0,7.40406238560297,0,0,0,0,0,0,0,0,0,0,0,5.51175229950434,5.95314923404743,0,0,0,0,0,0,0,0,0,0
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,1,5.95033966534457,3.17094163528023,2,7.40406238560297,0,0,0,0,0,2.56562204308624,5.71523169956902,0,0,0,0,5.51175229950434,5.95314923404743,2,5.28306147205346,6.15972801082041,0,0,0,0,0,0,0
 5,7.40406238560297,3.72225107158621,1,7.17815311131493,5.63436171737239,1,5.95033966534457,3.17094163528023,2,7.40406238560297,0,0,0,0,0,2.56562204308624,5.71523169956902,6,0,0,0,5.51175229950434,5.95314923404743,2,5.28306147205346,6.15972801082041,6,0,0,0,0,0,0
