Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance,Camera8_Performance,Camera9_Performance
1,45.531792203981034,34.84805399950732,56.43136490699588,64.29043797537364,0.0,46.1740617569238,0.0,51.35082744992652,42.553363009675046
2,40.390799035568556,44.7747055377974,35.640720725180365,37.34499992248076,0.0,0.0,0.0,32.216039272029406,0.0
3,50.670929386382326,40.84433018674128,40.27779548200644,63.41523450471684,0.0,48.46115645917076,0.0,33.246821014285885,33.09536486947212
4,40.76707959190308,52.880229850778285,53.567416215362165,32.90205534127668,0.0,29.18664204256344,0.0,60.06369222531136,40.658388857258196
5,43.50525382875672,51.250059314749286,36.485125202499205,29.616249542411882,0.0,33.12341497062105,50.04776648671449,45.859606134207084,45.77115793149549
6,40.042867821204595,30.18351775128772,36.8747479739722,25.07832582007712,31.34702007419469,0.0,0.0,49.25822324591868,0.0
7,58.36742272886468,39.77609204575968,56.54085299631348,34.59147721123013,0.0,35.5968596471014,43.98108990634581,39.31167142641764,44.82116933029696
8,43.17127814297396,50.83799145699156,45.40493109023428,40.95338782572932,0.0,42.091813032914885,0.0,58.8128830014326,51.1788920936712
9,47.593605917380046,45.12553418768608,47.83309824253188,55.33337403048152,0.0,44.20211525843424,0.0,49.39476389918992,35.1180953387102
10,34.88069672079597,50.87873676895253,53.65334900766749,18.078848646434885,0.0,37.547534785759005,40.40427407113852,53.02582547949059,22.25491695887296
11,48.65340906206632,42.00187376234936,48.61076577243284,36.31290627934972,0.0,33.37566736377448,45.54810562991936,42.62949473236972,27.55960517018548
12,50.14665886884101,36.705983809867206,39.0103339550868,32.91417300534204,44.20509703286356,0.0,0.0,41.113334004435245,0.0
13,36.89555312557172,45.60448393403681,55.52365316812449,44.04301010818716,0.0,43.19301738055824,0.0,52.87898522861164,63.80709211360512
14,36.34741268432188,50.80411667554476,53.57761433544852,21.511466954210924,0.0,47.7776506389076,51.62455126546224,55.12509723752053,39.40661142499712
15,56.01188262545285,51.8921792561662,37.35776182950856,35.82616413144744,43.35090394290648,0.0,0.0,49.718180661291925,0.0
16,55.221338490531004,61.62338180939604,31.131985231196325,58.679363410474636,0.0,0.0,0.0,48.04242076850009,0.0
17,45.21383031481828,50.789763119466926,42.47693105420021,32.91308219362028,0.0,44.33099413311776,41.270903817212606,44.5585155041888,33.17187681908436
18,46.39502699359153,47.743137294938286,47.94097414032784,58.33485639076166,0.0,0.0,0.0,52.60791381798753,0.0
19,53.32841921635128,32.26530436595056,33.55370738098185,29.18355250134144,30.206727500921083,44.730387109881164,0.0,44.50588528626952,32.200201531477
20,31.06384270708176,52.53497673685492,49.56452849207148,22.293086922475762,0.0,0.0,0.0,46.67932592009036,0.0
21,33.067466246124965,40.77159957085084,52.45709671858501,36.941302108596844,0.0,40.0996115530578,0.0,56.984935422414566,36.79796537845797
22,56.84371797752392,61.07551697981637,38.61231212095413,31.542719483293563,0.0,46.71107374554252,34.19041217233296,31.98330899557156,38.72097195838936
23,48.378066861993005,44.519170107836395,45.787448525754485,51.724115176746366,0.0,21.718214959179207,0.0,47.81276169030863,46.10826824284988
24,47.079740826975716,56.114737385560964,32.08817298284444,32.2877113667276,0.0,28.06701938564472,57.1022278459548,56.86788612956028,50.02840589033279
25,33.265842457394726,38.43291955267976,44.408004035814,32.021835618671524,0.0,0.0,0.0,46.36041335846236,0.0
26,38.29253892895141,45.12454085897908,26.914897738977885,30.463771132427688,0.0,34.121134952574565,49.830684683540085,54.70369951291436,21.14495079557912
27,34.967737747920005,41.339139896450035,36.7471524224062,21.394568248574764,54.366427949715245,0.0,0.0,42.18746413953372,0.0
28,47.198293518359286,52.54520661230704,42.82616569673267,55.41889951725272,0.0,0.0,0.0,45.20062306139793,0.0
29,40.765518733661445,52.564966266537084,43.53332661202673,36.90099161153137,0.0,49.69280094112264,0.0,45.977225987950085,32.33480725425056
30,31.615017803432156,53.756510521823195,55.271087570068886,36.88901205218528,0.0,0.0,0.0,42.4532696116148,0.0
31,48.395161000276396,52.116319224462956,52.64845889166173,41.8695863031622,0.0,0.0,0.0,20.44373786572584,0.0
32,46.824086599543925,45.805095501425406,47.64917512241356,41.515194741717046,0.0,0.0,0.0,56.18416192830797,0.0
33,47.554499954901964,58.850342308956,52.0919522879814,47.68101494164376,0.0,0.0,0.0,43.41483683912264,0.0
34,40.9388423679232,56.797933157325765,46.26315654567672,39.449659036971966,0.0,31.715733889941923,0.0,40.710084151680114,43.14524133346672
35,51.50420207561625,38.906361744739485,50.784491324382074,20.89442504257024,0.0,30.084275823866758,43.80470663020044,45.05417940190036,39.58872588646379
36,34.994645575546244,48.19004849086696,52.30834538360176,20.60365636987796,44.7729708949822,65.65895847388805,0.0,53.67498824447144,29.531689621668843
37,43.07555134354811,51.768338343306766,47.5977041204786,25.88790386260216,29.55193286903136,0.0,0.0,35.320786179566646,0.0
38,37.03014557041916,41.36300705960272,60.246131380591095,37.88388453427972,0.0,0.0,0.0,46.35171966982832,0.0
39,35.618906660506596,50.59397243999836,43.262278571725,23.52998701864608,0.0,40.84230476406764,62.088559704174884,45.22976080787387,48.98732233730889
40,39.68880640091896,58.668125700880694,48.49346117713432,27.42279626353628,0.0,49.79613705469664,52.976553610644395,36.87053983040165,48.619324989558564
41,44.96239044817624,50.01187243581361,39.98359928798596,32.1055985216438,0.0,35.79766717318497,43.56387035561752,47.730914095617486,29.05309514551252
42,57.019267632554204,52.831832858614966,38.281351712945124,30.43804106208664,0.0,42.66580954714484,35.36947065932961,40.04473167077668,45.04770706735236
43,48.13678534877904,49.65969151706409,43.60485555541677,45.828631674493,0.0,37.96528300997789,0.0,41.423805017382634,43.3844031447906
44,37.38988134501536,49.913851521987176,41.54077721364996,17.61782157603744,0.0,51.84885690032963,32.30757988901092,37.13761746141524,56.75952581749124
45,40.561174415695724,49.569929290948046,44.827060401398555,45.69896921098448,0.0,35.8985317121056,0.0,53.37119287904424,25.014729310863604
46,61.21529586647036,45.67535608422848,34.288870493412084,38.019502012146724,52.308948516400044,0.0,0.0,35.2502989519574,0.0
47,53.30244899526993,48.47317805361781,52.838648534365085,47.795197243221445,0.0,51.465644811382404,0.0,55.062292228274124,41.183702719029405
48,40.00451281817268,54.60550901666781,57.99020546218181,31.4508523604894,0.0,0.0,0.0,39.215051581204044,0.0
49,61.1471514087504,48.40797384331408,46.746080749805316,33.04487113500281,0.0,42.65434439139044,40.543250886014036,43.502341565738355,30.6439481901702
50,48.31985018804692,58.45427809878836,37.83564173717892,53.56300247516317,0.0,0.0,0.0,44.730704720439405,0.0
51,51.59577343719752,58.94282980449452,45.453598335455084,51.02245291606437,0.0,0.0,0.0,38.469068000962125,0.0
52,65.58421590107599,47.19845798991388,51.962211151203405,51.92244838865636,0.0,29.948450083324886,0.0,54.43927838000893,42.767306094185244
53,54.937751682535485,51.42455037261677,41.68158928511068,56.750552833520885,0.0,0.0,0.0,38.92763191196408,0.0
54,40.0032631029364,56.60706835190192,51.13822843424505,29.24102099155268,0.0,45.419964588050085,54.46352674387148,34.53903071750648,39.22868262710484
55,50.409346470853556,63.69093358606136,45.53299461494332,38.25725550924704,45.11849760306024,0.0,0.0,28.942545655518803,0.0
56,36.996942613909724,36.21891642410572,45.07551549528952,27.33685475532992,0.0,43.50370701866716,36.41447057213972,40.0615080453978,35.698527104351086
57,49.23479803093165,34.51357420183284,46.15403889684032,25.342804819602044,0.0,35.77450008517881,38.00191774541264,38.055459737343085,50.73663436107992
58,45.59220060587632,56.17865741568484,59.161695192223206,57.04384989651437,0.0,0.0,0.0,41.47086192676128,0.0
59,41.63666359926268,35.28555873478461,52.646577560312366,21.16408202102532,0.0,0.0,0.0,55.691716311000164,0.0
60,50.0455012992844,41.68837280014252,50.55960184946209,60.11407423942432,0.0,0.0,0.0,41.25899284086212,0.0
61,46.82692758451981,50.10781766641477,45.97469151748056,53.335635643000245,0.0,35.19829424618116,0.0,61.09633893627085,60.661182009603934
62,47.489903913685474,36.88972832298088,43.55262172502341,26.00933603630728,0.0,49.62396202967808,51.31737502797377,40.104059535145765,53.90768098378537
63,55.742302421779954,37.9471715404636,43.1035523958042,48.929323416361484,0.0,0.0,0.0,40.889286112996324,0.0
64,40.39570700214152,49.4492025837472,31.103619197659683,38.33502213335127,0.0,0.0,0.0,37.23262815380716,0.0
65,47.079496809396396,44.92699729565872,49.69781813648353,44.425996004977954,0.0,54.3711016041732,0.0,44.4296091538942,49.255383131687324
66,29.387729178929156,62.566100862174935,41.21448943830696,21.24888745461136,0.0,42.226065663049006,38.18594666522173,58.821121579216204,39.17629473931548
67,43.733735389671004,60.81106957305269,42.61239439998884,40.25489658725832,0.0,0.0,0.0,36.16172456046552,0.0
68,52.13814296223352,47.7137596538048,47.308399723366804,33.97265792875696,30.75920404517152,0.0,0.0,43.184729806057085,0.0
69,43.78166620925684,39.14008035239408,37.64309638275992,42.19323639646524,0.0,0.0,0.0,41.45123461475224,0.0
70,45.57138713094812,29.578725739127883,50.681186193278634,58.85418205143276,0.0,0.0,0.0,30.869762735187003,0.0
71,44.147892583048,35.690669283780004,55.37148589604748,36.037622341525434,0.0,35.35732926174556,0.0,48.050952219594,50.16070245428475
72,37.87432919343948,46.99466093848452,41.29922709604264,51.324394425158324,0.0,35.79781430264405,0.0,42.758516010766954,22.892039736582202
73,51.32739170750965,49.71713896623592,30.792057855484124,42.04281479070804,0.0,0.0,0.0,47.8263394084204,0.0
74,48.20750376210716,53.448155767992766,56.509773719826285,31.83793648247096,0.0,41.26780257540696,47.557616339910034,23.876329840173362,38.61064312926317
75,51.094086014103404,48.35923941986644,49.496875668572,30.904952043857563,0.0,45.90493021846552,47.50749363459604,49.16580384188069,18.588226472496235
76,46.13728008008524,48.87652448851165,56.4037424458522,31.67168333660788,0.0,30.4546810563032,48.26108548240336,38.467873259111,35.88423475357181
77,53.20402235234756,44.8468219844792,50.742918006341675,30.498676523190444,41.506305256427716,36.45871619391844,0.0,52.80145200349444,25.23554502166248
78,43.08822303967549,49.70855644103788,45.70320642594448,20.415321382430484,0.0,39.80215232328336,38.771520107523486,60.63338522017556,43.92473674892668
79,46.085969217683555,58.18709307562069,41.57243191243912,50.62291360873357,0.0,0.0,0.0,29.459951614997127,0.0
80,49.380760089152446,34.16614672977284,51.87458373017769,28.012397518592604,40.99525478630889,39.564006253203125,0.0,52.66256177420916,56.43159982529355
81,44.36425992287112,51.126964764962366,45.499601155746845,30.520959082484083,0.0,37.98345638546549,47.00585469932468,55.54858722743392,38.13584655739837
82,43.33127560489232,51.09547039090424,51.13449005311116,43.927011250697916,0.0,30.502384593764166,0.0,51.69463731616813,44.53071429916128
83,55.812875421683714,45.467511115921,49.325249181888644,35.9613843550238,0.0,0.0,0.0,42.12803796397632,0.0
84,59.37410930405844,47.173606212584204,32.42496468827716,64.407083610643,0.0,42.943223443681084,0.0,52.188290712903765,32.43756585490536
85,39.67651412012016,47.379477492139834,42.79076861821336,42.36544657361212,0.0,43.95073489645284,0.0,47.528323169002924,34.6961938558912
86,47.60391857502084,53.247972122831,44.62295147312748,31.735608845983283,0.0,42.120665631630715,0.0,49.40828507446376,58.268380551311715
87,31.97178121577584,47.63048609433408,35.205466583985206,17.69102221900032,0.0,40.460726743791,50.952335409878955,43.13456729779964,42.066932813286165
88,50.07096568062749,58.678108306717,48.31491176258964,25.768091158213963,28.348993069875117,0.0,0.0,40.09904431461012,0.0
89,32.83188504073872,50.31399466249131,55.428540011356645,49.88338603735607,0.0,0.0,0.0,50.932055136025724,0.0
