Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6
 3,3.87467051480901,3.59432736502212,0,4.1147748982867,6.53510074352838,0,5.03707357334776,7.81881648512061,5,3.87467051480901,0,0,0,0,0,4.5177247023777,5.58251562800783,2
 3,3.87467051480901,3.59432736502212,0,4.1147748982867,6.53510074352838,0,5.03707357334776,7.81881648512061,5,3.87467051480901,3.48847303844712,2,0,0,0,4.5177247023777,5.58251562800783,2
 4,3.75905392405491,3.52572713165196,0,7.22068558956082,3.92046653326817,0,5.55095541264447,6.56433370214822,3,3.75905392405491,0,0,0,0,0,3.66355719289556,2.81326357297157,0
 4,3.75905392405491,3.52572713165196,0,7.22068558956082,3.92046653326817,0,5.55095541264447,6.56433370214822,3,3.75905392405491,0,0,0,0,0,3.66355719289556,2.81326357297157,2
 4,3.75905392405491,3.52572713165196,0,7.22068558956082,3.92046653326817,0,6.30222781058979,3.20713608704545,3,3.75905392405491,0,0,0,0,0,3.66355719289556,2.81326357297157,2
 4,3.75905392405491,3.52572713165196,0,7.22068558956082,3.92046653326817,0,6.30222781058979,3.20713608704545,3,3.75905392405491,3.04516193081875,2,0,0,0,3.66355719289556,2.81326357297157,2
 5,5.3112466334237,3.72225107158621,0,5.14671404708876,5.63436171737239,0,3.65530365264922,3.65652794620215,5,5.3112466334237,0,0,0,0,0,4.04387065236272,2.84455394456565,0
 5,5.3112466334237,3.72225107158621,0,5.14671404708876,5.63436171737239,0,3.65530365264922,3.65652794620215,5,5.3112466334237,0,0,0,0,0,4.04387065236272,2.84455394456565,2
 6,3.8582817056507,3.99113550028187,1,3.30277913316124,2.24989283072888,0,0,0,0,3.8582817056507,0,0,0,0,0,0,0,0
 6,3.8582817056507,3.99113550028187,1,3.30277913316124,2.24989283072888,1,5.42607595151277,7.44564442361193,0,3.8582817056507,0,0,0,0,0,0,0,0
