Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance,Camera8_Performance,Camera9_Performance
70,42.445713842452236,53.74644901419893,30.894139633073202,48.9946339821406,0.0,0.0,0.0,53.036773082777366,0.0
71,34.92376860311596,44.456759727484716,52.84245753471536,26.813498361593403,0.0,35.35732926174556,0.0,44.55648617752604,50.16070245428475
72,28.41779701515852,49.7341251407022,47.55714975789797,41.86786224687736,0.0,35.79781430264405,0.0,41.05343963604244,22.892039736582202
73,44.723957306045634,42.0907373562492,53.510777162304414,23.854698836938798,0.0,0.0,0.0,30.143998069131207,0.0
74,31.145028414644884,23.877919903127722,50.35750656851624,9.1388417243178,0.0,41.26780257540696,36.74059739036472,38.152475577329284,38.61064312926317
75,39.502532550731075,47.19355387734664,40.445464371781206,17.3695672796362,0.0,45.90493021846552,28.7229570056232,48.66085570781396,18.588226472496235
76,44.18323576282124,32.6732800061676,36.46793201346993,21.18913397024584,0.0,30.4546810563032,38.35592760087812,52.73514311296812,35.88423475357181
77,47.035033138258406,46.914709624434195,45.36315157878105,24.329687309101285,37.00887321298436,36.45871619391844,0.0,49.32155787523868,25.23554502166248
78,26.791577235676645,38.096626015929004,40.99095000872192,15.465596743477361,0.0,39.80215232328336,34.447370554278244,47.99377076508492,43.92473674892668
79,45.01962595319704,30.33647953953108,43.96103337312557,34.79295868509532,0.0,0.0,0.0,57.058419077443524,0.0
80,41.98319643919456,48.560882784453,47.53221674880365,20.61483386863472,36.50823530575664,39.564006253203125,0.0,49.467679495239636,56.43159982529355
81,48.297181765244765,47.278470675836125,38.50678569225284,24.672901657245003,0.0,37.98345638546549,42.51082433949617,53.76830330854705,38.13584655739837
82,34.89919315218008,47.61467067525932,48.8907695007206,35.49492879798568,0.0,30.502384593764166,0.0,47.79825409992593,44.53071429916128
83,39.75674045380872,41.29881842752424,32.54047742196444,17.126534456225,0.0,0.0,0.0,40.4479217586712,0.0
84,50.70963457522908,33.773507665551314,29.49879712446656,55.74260888181365,0.0,42.943223443681084,0.0,49.645993097266036,32.43756585490536
85,30.570173331704236,38.0096390150796,40.00868841165748,33.2591057851962,0.0,43.95073489645284,0.0,43.51246810425988,34.6961938558912
86,37.663865466118885,32.788366236889445,40.970417155440764,21.79555573708132,0.0,42.120665631630715,0.0,45.68023812439376,58.268380551311715
87,24.6102710060142,38.99274504084216,43.87604931783115,14.84330084038704,0.0,40.460726743791,30.38049649583764,36.80991507114925,42.066932813286165
88,42.06382567360756,32.906211754477646,36.11221704118536,24.29055279029532,25.584987990029678,0.0,0.0,43.33059153560325,0.0
89,41.59698739285925,37.82761880150692,39.4118942012048,50.699901862358445,0.0,0.0,0.0,35.578264750572956,0.0
90,21.578468299180837,41.68797327574512,33.69783480667916,9.34552634332756,41.42199848418808,0.0,0.0,36.89031210841704,0.0
91,39.24000704319612,32.618096079991524,40.37996687555808,51.03830722778684,0.0,0.0,0.0,52.67179961724633,0.0
92,36.810439206663325,28.95108164946012,42.97150270068616,15.28075899677552,0.0,29.8096274505294,28.072178868893438,33.11637863246576,49.01557720644537
93,32.35817084356339,36.76193480655312,44.39242109315356,21.74406118563032,41.84220265068972,0.0,0.0,45.088063807054205,0.0
94,58.13894944423772,38.7595557411616,40.21286437618408,45.510407120484395,0.0,35.61640762865657,0.0,51.60445539484413,40.88200243291013
95,59.538505183908285,48.07962255526744,44.872642279246044,25.806413135800604,0.0,37.3631737472352,49.490234826140444,47.495074348969325,35.50413241799084
96,46.95488650800388,42.508814995166276,34.34186837794644,19.9993353944428,0.0,52.93300627324764,46.751417391878725,40.36538714965256,47.11880281003796
97,43.14558193069457,30.99435810191312,42.81119560072492,21.721841659965165,0.0,52.90558937937324,28.82208003405952,31.087942570915683,34.33513006373704
98,42.86648338076768,48.859184520522206,40.80712150612372,27.21729415787576,0.0,44.5208616061392,42.58467687942764,42.623248368658565,45.09865969286364
99,31.8117710424896,46.63204804213797,58.54487030580293,31.754748262335358,0.0,35.52899589205533,0.0,40.0491636452126,40.65029462762792
100,52.84688520573009,46.90897903716269,38.7253304213822,45.9669157924264,0.0,0.0,0.0,26.37942712819928,0.0
101,30.15422517101356,52.1733538471608,40.56840847976213,16.19592063660208,0.0,36.47705432005516,30.352267491236915,35.93806029042384,41.6776636689922
102,40.110324773015634,20.591749750900917,35.735663029846,48.83663928745376,0.0,0.0,0.0,40.328314275637844,0.0
103,36.284018694165674,21.327862802670683,51.52667034609468,19.46278050739364,0.0,38.80266763989252,47.04315176642188,43.3206185842726,38.28878330447496
104,52.23704895130452,40.621856182483164,49.139416694796644,42.44356200724329,0.0,0.0,0.0,26.042547415988043,0.0
105,24.224524190356554,49.70899322889301,35.60925070021684,9.0485253690058,0.0,34.539669639557324,42.14813755408968,21.11975841382584,32.31639688033296
