Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance
1,38.27570422715,28.488594280206,54.157532817544364,57.0343499985426,0.0,46.1740617569238
2,35.22754913169152,36.88189679860212,30.822062122634403,31.181750018603722,0.0,0.0
3,43.92771393952397,33.97465631181448,36.982897630792124,55.67201905785848,0.0,48.46115645917076
4,34.03815532998536,43.676221240270124,49.46429746814256,25.173131079358956,0.0,29.18664204256344
5,35.13399082003964,43.12430305784461,33.1820393486416,21.2449865336948,0.0,33.12341497062105
6,30.397668823730285,22.21068785556048,32.943356413310596,15.433126822602802,27.24732639540548,0.0
7,50.46005187042708,31.2533903763784,52.29283294117239,26.68410635279252,0.0,35.5968596471014
8,34.3817227232916,42.66452293718404,39.99752839744356,31.16383240604696,0.0,42.091813032914885
9,39.532498711966326,37.32543653728641,46.74956963729689,48.2722668250678,0.0,44.20211525843424
10,28.034188917499357,42.2947545623356,49.997745416713876,6.820054737825119,0.0,37.547534785759005
11,38.035896700160045,36.893763849590286,45.39661694493908,21.36576576660484,0.0,33.37566736377448
12,43.293346194100494,25.831774912150763,34.748979559104285,26.060860330601525,39.83120605296379,0.0
13,30.20154455963692,36.00145209929228,52.06620079224928,38.34900154225236,0.0,43.19301738055824
14,44.09527059272632,44.71167920191416,51.46798443859696,21.51996749597488,0.0,47.7776506389076
15,46.87657355906712,43.871123323038915,31.9143356280932,26.69085506506172,41.08767081865672,0.0
16,48.51054310225428,55.150185740200605,26.917786286580082,51.968568022197914,0.0,0.0
17,42.62855240923544,39.62701691536312,38.519223569010286,25.31796242422672,0.0,44.33099413311776
18,39.98297117121277,39.525717720450245,43.562943426857245,52.92280056838289,0.0,0.0
19,45.52210124195872,25.314944332605922,28.6294784203088,21.377234526948882,26.55369838771348,44.730387109881164
20,26.254191897950285,45.680086127977724,43.67869860944956,16.48343611334428,0.0,0.0
21,25.141209633420004,32.3811376861784,48.95175236568956,28.015045495891876,0.0,40.0996115530578
22,48.61580749250452,53.916162162517125,48.70690450127167,22.01790534008136,0.0,46.71107374554252
23,37.335931679009434,37.87074098227452,41.90565970607816,41.6819799937628,0.0,21.718214959179207
24,50.56468517658737,49.65956748106996,49.16140267581668,26.30099849423036,0.0,28.06701938564472
25,28.121428146633082,30.470235398826002,41.6165179922946,25.87742130790988,0.0,0.0
26,37.84132403824072,35.95930304539064,51.40935291385309,16.79202946024812,0.0,34.121134952574565
27,27.37010645734016,32.50780801012996,32.5988768537764,13.796936957994918,48.334555878014115,0.0
28,37.631116780461085,44.2227883142712,38.116199635013004,45.85172277935452,0.0,0.0
29,28.840667245965847,45.465554183319,40.45961875734989,25.976140123835762,0.0,49.69280094112264
30,23.5524029359896,47.053393951630845,50.7734942090698,27.826397184742717,0.0,0.0
31,41.749593275566845,43.578115043867086,48.82030487168948,35.22401857845264,0.0,0.0
32,36.1070932528566,37.2400854543608,44.30425420049588,29.79820139502972,0.0,0.0
33,38.45820623332904,53.774410939939955,49.14691905427896,39.58472122007084,0.0,0.0
34,32.951592305811715,47.37175998589828,42.897287072235045,30.462408974860477,0.0,31.715733889941923
35,23.11073104758216,28.472987968948882,29.168992239998442,8.828767796523723,0.0,30.084275823866758
36,27.907391850686402,39.70956759862792,46.27895921178852,13.516402645018118,41.19988508222656,65.65895847388805
37,33.93833289013952,44.0835797718748,36.76887713119088,17.75068540919356,24.910978031208636,0.0
38,35.927204361918726,34.01704332470704,31.45001442630712,33.258075938455804,0.0,0.0
39,45.36560356777445,42.98894731636484,30.45811284465828,31.609777033046004,0.0,40.84230476406764
40,31.7737921076904,50.718015676910724,32.597736821558485,13.08891964186052,0.0,49.79613705469664
41,38.57314453753284,42.830886617388195,42.491953270250484,13.26601013738268,0.0,35.79766717318497
42,34.7789636165002,42.9158677714598,37.48982454144743,14.85679192653244,0.0,42.66580954714484
43,39.10481383766496,43.04351106163005,39.46433973180689,36.79666016337892,0.0,37.96528300997789
44,37.1322563270894,43.269270977680286,26.856693941911082,28.58122657046756,0.0,51.84885690032963
45,33.91902783547033,42.60617964943396,37.05660929030567,40.056822630759086,0.0,35.8985317121056
46,21.183918205415797,35.100876854588726,38.91023789850364,17.22729531461268,50.72200281367132,0.0
47,46.74856104498688,41.422781106086724,47.23035367625239,40.241309292938396,0.0,51.465644811382404
48,43.50009219194728,45.64308209405984,37.98668878802589,23.95342841842184,0.0,0.0
49,43.345665823108,39.80600769405588,42.15436779110932,21.77205976897792,0.0,42.65434439139044
50,34.666119652012405,21.22684013643076,43.976790689818124,39.92047280634953,0.0,0.0
51,36.637751882701316,32.69582580168652,40.264829378071404,44.706953127575325,0.0,0.0
52,59.82600270451848,40.2010343495386,46.78665754057607,45.16423519209884,0.0,29.948450083324886
53,36.29405217258604,38.23023318728092,30.60251325747848,50.50488484763207,0.0,0.0
54,50.69547260631029,48.43465746252464,44.91515711044533,29.1022802737476,0.0,45.419964588050085
55,25.196194925025562,29.153516755250365,44.32967539280588,14.90387919762548,41.01061381079532,0.0
56,28.95924765932608,29.940305521417642,39.68038292591544,12.762242111383722,0.0,43.50370701866716
57,26.775726945544605,25.211014201984806,32.99225764327248,10.660087858579802,0.0,35.77450008517881
58,42.990859324869,18.91428423767596,36.66405070355,46.59916926228496,0.0,0.0
59,46.113183242918645,52.955212164273966,27.17107102485944,35.534524914868996,0.0,0.0
60,24.004730283489156,52.03647232708673,27.94367397810448,39.37343484892192,0.0,0.0
61,37.70842824407724,33.45928104006328,40.535266216204846,43.21713630255768,0.0,35.19829424618116
62,43.603948513357636,30.087445621092478,35.75066926408884,25.8919932113296,0.0,49.62396202967808
63,39.58391254940412,45.62869414582569,34.346475508111084,51.53375858989724,0.0,0.0
64,48.68110930613183,35.42041109466064,50.91949723622916,36.200852367397914,0.0,0.0
65,39.306940524290326,46.50989833399605,45.30737404394765,35.653439719871876,0.0,54.3711016041732
66,32.64539583226272,42.863107272254844,29.46143296549344,22.4805678773782,0.0,42.226065663049006
67,35.50950972713804,40.447743217354834,41.92979574717452,34.46913952594412,0.0,0.0
68,24.716699366219043,25.417606383442358,46.99906284445688,16.119839771336643,27.6483740665382,0.0
69,38.147862734633804,50.30364357472741,44.543408425115715,44.810829829059685,0.0,0.0
70,43.445713842452236,53.74644901419893,30.894139633073202,47.9946339821406,0.0,0.0
71,33.92376860311595,44.456759727484716,50.84245753471536,28.8134983615934,0.0,35.35732926174556
72,28.41779701515852,49.7341251407022,47.55714975789797,41.86786224687736,0.0,35.79781430264405
73,43.723957306045634,42.0907373562492,53.510777162304414,21.854698836938798,0.0,0.0
74,30.14502841464488,23.877919903127722,50.35750656851624,9.1388417243178,0.0,41.26780257540696
75,39.502532550731075,47.19355387734664,40.445464371781206,17.3695672796362,0.0,45.90493021846552
76,43.18323576282124,32.6732800061676,36.46793201346993,21.18913397024584,0.0,30.4546810563032
77,48.035033138258406,46.914709624434195,46.36315157878104,24.329687309101285,38.00887321298436,36.45871619391844
78,27.791577235676645,38.096626015929004,40.99095000872192,15.465596743477361,0.0,39.80215232328336
79,45.01962595319704,30.33647953953108,43.96103337312557,35.79295868509532,0.0,0.0
80,42.98319643919456,48.560882784453,47.53221674880365,20.61483386863472,36.50823530575664,39.564006253203125
81,47.297181765244765,47.278470675836125,38.50678569225284,24.672901657245003,0.0,37.98345638546549
82,33.89919315218008,47.61467067525932,46.890769500720594,35.49492879798568,0.0,30.502384593764166
83,39.75674045380872,41.29881842752424,32.54047742196444,16.126534456225,0.0,0.0
84,51.70963457522908,33.773507665551314,29.49879712446656,54.742608881813645,0.0,42.943223443681084
85,31.570173331704236,38.0096390150796,41.00868841165748,33.2591057851962,0.0,43.95073489645284
86,36.663865466118885,32.788366236889445,39.970417155440764,21.79555573708132,0.0,42.120665631630715
87,23.610271006014198,38.99274504084216,43.87604931783115,14.84330084038704,0.0,40.460726743791
88,41.06382567360755,32.906211754477646,36.11221704118536,24.29055279029532,24.584987990029678,0.0
89,40.59698739285925,37.82761880150692,39.4118942012048,51.699901862358445,0.0,0.0
90,21.578468299180837,41.68797327574512,33.69783480667916,9.34552634332756,41.42199848418808,0.0
91,39.24000704319612,32.618096079991524,40.37996687555808,50.03830722778684,0.0,0.0
92,37.810439206663325,28.95108164946012,42.97150270068616,15.28075899677552,0.0,29.8096274505294
93,32.35817084356339,36.76193480655312,44.39242109315356,21.74406118563032,41.84220265068972,0.0
94,57.13894944423772,38.7595557411616,39.21286437618407,44.510407120484395,0.0,35.61640762865657
95,59.538505183908285,48.07962255526744,44.872642279246044,25.806413135800604,0.0,37.3631737472352
96,47.95488650800388,42.508814995166276,34.34186837794644,19.9993353944428,0.0,52.93300627324764
97,43.14558193069457,30.99435810191312,42.81119560072492,21.721841659965165,0.0,52.90558937937324
98,42.86648338076768,48.859184520522206,40.80712150612372,27.21729415787576,0.0,44.5208616061392
99,31.8117710424896,46.63204804213797,58.54487030580293,32.75474826233536,0.0,35.52899589205533
100,52.84688520573009,46.90897903716269,38.7253304213822,45.9669157924264,0.0,0.0
101,28.154225171013557,52.1733538471608,40.56840847976213,16.19592063660208,0.0,36.47705432005516
102,40.110324773015634,20.591749750900917,35.735663029846,47.83663928745376,0.0,0.0
103,36.284018694165674,21.327862802670683,51.52667034609468,19.46278050739364,0.0,38.80266763989252
104,52.23704895130452,40.621856182483164,49.139416694796644,42.44356200724329,0.0,0.0
105,24.224524190356554,49.70899322889301,35.60925070021684,9.0485253690058,0.0,34.539669639557324
106,43.20729482081176,33.2965950408266,45.538462728674475,46.70185202882916,0.0,0.0
107,46.94350190389468,47.171725755476565,39.943416154141076,51.64020093278203,0.0,31.360200430706044
108,52.59382342933544,52.78192428829189,50.0137722032742,25.76634880176008,48.12188269912584,46.37926110932792
109,35.001185552694444,27.746385469964117,40.407669225977045,48.89861806618776,0.0,47.651882056194324
110,39.25940689206164,39.881840945610435,31.236065426780524,18.667616422992282,0.0,30.217009136231844
111,49.69180888995473,45.88794583048197,49.07364219210748,33.41677467477264,0.0,0.0
112,49.48296257487792,53.25167135993312,42.339659916461436,26.50430580185688,52.255337680356526,19.377684427814202
113,36.62920821136688,48.49618754982688,49.55336385542596,49.30376600045309,0.0,43.7857190717772
114,35.42194385172776,37.179712713915485,45.77285468472409,15.7217664256928,0.0,41.57308234191272
115,38.21840658540956,42.18561209610665,56.075326543573276,15.111473187482083,0.0,45.37411386643852
116,41.93854684449148,51.68971434509836,36.598218014281926,29.517126270416323,45.91048485257676,0.0
