Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance
1,26.488594280206,54.157532817544364,58.257960565859726,36.055779972292754,0.0,35.60992915398612,0.0
2,35.88189679860212,30.822062122634403,36.64605399519924,47.671606040620965,0.0,0.0,0.0
3,32.97465631181448,47.71751815720724,49.42356023387349,28.860080374201434,0.0,40.40096132154212,0.0
4,42.676221240270124,36.982897630792124,48.46115645917076,38.57994543510712,0.0,25.907283063468522,0.0
5,35.13399082003964,43.12430305784461,33.1820393486416,21.2449865336948,0.0,29.24732639540548,46.334119351866086
6,21.21068785556048,28.52079177772752,51.486881500498804,13.21111653264496,25.55369838771348,0.0,0.0
7,50.46005187042708,31.2533903763784,42.5224067894856,26.68410635279252,0.0,41.8312060529638,40.59950256726032
8,41.66452293718404,29.322962491862327,43.62612582054952,38.1667143280514,0.0,29.881493893096916,0.0
9,36.32543653728641,37.6054059738834,46.77628118125375,48.986927836159325,0.0,52.46429746814256,0.0
10,28.034188917499357,42.2947545623356,52.29283294117239,6.820054737825119,0.0,42.08767081865672,43.56460849131596
11,38.035896700160045,36.893763849590286,35.2519749880328,21.36576576660484,0.0,50.33455587801412,36.476579732979566
12,24.831774912150763,32.943356413310596,40.782415500781646,12.5732247393852,40.19988508222656,0.0,0.0
13,35.00145209929228,57.18220892705792,40.658388857258196,32.276465493846594,0.0,26.11703163480644,0.0
14,44.09527059272632,44.71167920191416,49.997745416713876,21.51996749597488,0.0,26.91097803120864,41.04468523903124
15,42.871123323038915,44.527033104465595,26.935251818949844,17.84075216991736,38.00887321298436,0.0,0.0
16,54.150185740200605,34.748979559104285,38.6499713535672,53.64085695275025,0.0,0.0,0.0
17,42.62855240923544,39.62701691536312,49.425963223367084,25.31796242422672,0.0,51.72200281367132,32.303282883151205
18,38.525717720450245,37.137359184708885,50.55488420880621,26.187243830057238,0.0,0.0,0.0
19,24.31494433260592,35.49426478527564,42.091813032914885,8.14836413441712,36.49468825353927,43.99752839744357,0.0
20,44.68008612797772,31.9143356280932,26.190766758274158,43.966082834818074,0.0,0.0,0.0
21,30.3811376861784,35.679541358933804,51.1788920936712,39.142571755710485,0.0,58.01124751622972,0.0
