Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7
 1,4.78724599708539,3.92476750279144,2,9.54301623592125,4.99431676036877,0,0,0,0,4.78724599708539,0,0,0,0,0,0,0,0,0,0,0
 1,4.78724599708539,3.92476750279144,2,9.54301623592125,4.99431676036877,2,4.58485563464658,8.16988853216226,0,4.78724599708539,0,0,0,0,0,0,0,0,0,0,0
 1,4.78724599708539,3.92476750279144,2,9.54301623592125,4.99431676036877,2,4.58485563464658,8.16988853216226,2,4.78724599708539,0,0,0,0,0,7.15513371288289,1.74734857561364,0,0,0,0
 1,4.78724599708539,3.92476750279144,2,9.54301623592125,4.99431676036877,2,4.58485563464658,8.16988853216226,2,4.78724599708539,0,0,0,0,0,7.15513371288289,1.74734857561364,7,0,0,0
 1,4.78724599708539,3.92476750279144,2,9.54301623592125,4.99431676036877,2,7.02257827654542,8.59069726490213,2,4.78724599708539,0,0,0,0,0,7.15513371288289,1.74734857561364,7,0,0,0
 1,4.78724599708539,3.92476750279144,2,9.54301623592125,4.99431676036877,2,7.02257827654542,8.59069726490213,2,4.78724599708539,6.31656392581313,2,0,0,0,7.15513371288289,1.74734857561364,7,0,0,0
 2,8.42587199538504,2.76780438906431,1,6.45902532065299,3.71764911957513,0,0,0,0,8.42587199538504,0,0,0,0,0,0,0,0,0,0,0
 2,8.42587199538504,2.76780438906431,1,6.45902532065299,3.71764911957513,1,4.623938980901,5.30511414754118,0,8.42587199538504,0,0,0,0,0,0,0,0,0,0,0
 2,8.42587199538504,2.76780438906431,1,6.45902532065299,3.71764911957513,1,4.623938980901,5.30511414754118,5,8.42587199538504,0,0,0,0,0,0,0,0,0,0,0
 2,8.42587199538504,2.76780438906431,1,6.45902532065299,3.71764911957513,1,4.623938980901,5.30511414754118,5,8.42587199538504,5.71523169956902,1,0,0,0,0,0,0,0,0,0
 3,5.44130306200019,4.76977948468513,1,7.86220709070084,5.84484021054126,0,0,0,0,5.44130306200019,0,0,0,0,0,0,0,0,0,0,0
 3,5.44130306200019,4.76977948468513,1,7.86220709070084,5.84484021054126,1,6.1310192194558,5.43474136532242,0,5.44130306200019,0,0,0,0,0,0,0,0,0,0,0
 3,5.44130306200019,4.76977948468513,1,7.86220709070084,5.84484021054126,1,6.1310192194558,5.43474136532242,4,5.44130306200019,0,0,0,0,0,4.5177247023777,5.58251562800783,0,0,0,0
 3,5.44130306200019,4.76977948468513,1,7.86220709070084,5.84484021054126,1,6.1310192194558,5.43474136532242,4,5.44130306200019,0,0,0,0,0,4.5177247023777,5.58251562800783,9,0,0,0
 3,5.44130306200019,4.76977948468513,1,7.86220709070084,5.84484021054126,1,5.80901851919378,7.81881648512061,2,5.44130306200019,0,0,0,0,0,4.5177247023777,5.58251562800783,9,0,0,0
 3,5.44130306200019,4.76977948468513,1,7.86220709070084,5.84484021054126,1,5.80901851919378,7.81881648512061,2,5.44130306200019,3.99113550028187,2,0,0,0,4.5177247023777,5.58251562800783,9,0,0,0
 4,7.63786704552908,5.58219041716549,1,6.05892250635396,4.84408093687291,0,0,0,0,7.63786704552908,0,0,0,0,0,0,0,0,0,0,0
 4,7.63786704552908,5.58219041716549,1,6.05892250635396,4.84408093687291,1,6.6196254266282,6.56433370214822,0,7.63786704552908,0,0,0,0,0,0,0,0,0,0,0
 4,7.63786704552908,5.58219041716549,1,6.05892250635396,4.84408093687291,1,6.6196254266282,6.56433370214822,4,7.63786704552908,0,0,0,0,0,3.66355719289556,2.81326357297157,0,0,0,0
 4,7.63786704552908,5.58219041716549,1,6.05892250635396,4.84408093687291,1,6.6196254266282,6.56433370214822,4,7.63786704552908,0,0,0,0,0,3.66355719289556,2.81326357297157,3,0,0,0
 4,7.63786704552908,5.58219041716549,1,6.05892250635396,4.84408093687291,1,7.3221942286234,3.20713608704545,3,7.63786704552908,0,0,0,0,0,3.66355719289556,2.81326357297157,3,0,0,0
