Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance
1,30.953767407999997,47.334119352,57.25796056799999,37.876799892612404,0.0,35.609929156
2,34.88189679860212,36.8818968,36.646053996000006,37.43679102715348,0.0,0.0
3,29.87599152,42.599502568000005,46.423560232,27.452574212000002,0.0,40.40096132000001
4,29.139124224,44.564608492000005,45.461156460000005,25.216863419999996,0.0,25.907283063999998
5,36.13399082,43.124303056,24.247326396000002,21.244986532,0.0,27.553698388000004
6,30.397668824,22.210687856,51.486881504,15.433126824000002,36.494688252,0.0
7,51.460051868,31.253390376000002,37.831206052,26.684106351999997,0.0,42.199885084
8,32.809589736,37.476579736000005,45.626125824,37.172613248,0.0,29.881493891999998
9,39.098308428,42.04468524,45.77628118,41.656987296000004,0.0,52.46429746800001
10,29.034188916000005,42.294754564,38.08767082000001,6.820054736000001,0.0,39.008873216000005
11,39.0358967,36.893763848000006,47.334555875999996,21.365765768,0.0,37.508235308
12,43.293346196,25.831774912,40.7824155,26.060860332,19.782233935999997,0.0
13,48.971069008,34.303282884000005,38.6710125,52.408022732000006,0.0,26.117031636000004
14,45.095270592000006,44.711679204000006,24.910978032000003,21.519967496,0.0,49.121882696
15,46.876573560000004,43.87112332,26.93525182,26.690855064,53.521117048,0.0
16,48.51054310400001,55.150185740000005,38.649971352,46.824902372000004,0.0,0.0
17,43.628552408000004,39.627016916,46.722002812,25.317962424,0.0,53.25533767999999
18,39.982971168000006,39.525717719999996,50.554884212000005,38.745900371999994,0.0,0.0
19,36.528285988,48.385957004000005,37.091813032000005,14.617769119999998,53.321938912,43.99752839599999
20,26.254191896000002,45.680086128000006,26.190766756000006,22.97702092,0.0,0.0
21,25.128354496000004,29.497204468,47.178892092000005,34.898664256,0.0,58.011247516
22,49.615807491999995,53.91616216399999,39.010613811999995,22.01790534,0.0,53.62209396800001
23,41.410263275999995,32.992606916,40.202115256000006,50.83541794799999,0.0,48.749569640000004
24,52.564685180000005,49.65956748,25.648374068000003,26.300998496,0.0,47.485906996000004
25,28.121428148000007,30.470235396,27.144286236000003,28.584568091999994,0.0,0.0
26,39.841324036,35.959303044,22.584987992000002,16.79202946,0.0,49.467333004000004
27,27.370106456,32.507808012,40.71403042800001,13.796936956,35.97452138,0.0
28,37.631116780000006,44.222788316000006,33.445014916000005,24.107177460000003,0.0,0.0
29,42.20030714000001,42.771002768,40.398968055999994,32.17008526,0.0,49.27349576
30,22.552402936,47.05339394800001,43.366753228,30.844140720000002,0.0,0.0
31,41.749593272,43.578115044,26.80430734,29.202828768,0.0,0.0
32,36.107093252,37.240085456,48.27527052,48.141192780000004,0.0,0.0
