Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7
 1,3.19738106726006,3.92476750279144,2,8.54506644401732,4.99431676036877,0,0,0,0,3.19738106726006,0,0,0,0,0,0,0,0,0,0,0
 1,3.19738106726006,3.92476750279144,2,8.54506644401732,4.99431676036877,2,3.37362690706869,8.16988853216226,0,3.19738106726006,0,0,0,0,0,0,0,0,0,0,0
 1,3.19738106726006,3.92476750279144,2,8.54506644401732,4.99431676036877,2,3.37362690706869,8.16988853216226,2,3.19738106726006,0,0,0,0,0,7.15513371288289,1.74734857561364,0,0,0,0
 1,3.19738106726006,3.92476750279144,2,8.54506644401732,4.99431676036877,2,3.37362690706869,8.16988853216226,2,3.19738106726006,0,0,0,0,0,7.15513371288289,1.74734857561364,5,0,0,0
 1,3.19738106726006,3.92476750279144,2,8.54506644401732,4.99431676036877,2,6.4737928765628,8.59069726490213,2,3.19738106726006,0,0,0,0,0,7.15513371288289,1.74734857561364,5,0,0,0
 1,3.19738106726006,3.92476750279144,2,8.54506644401732,4.99431676036877,2,6.4737928765628,8.59069726490213,2,3.19738106726006,6.31656392581313,2,0,0,0,7.15513371288289,1.74734857561364,5,0,0,0
 2,6.45266981058622,2.76780438906431,1,3.98786641108347,3.71764911957513,0,0,0,0,6.45266981058622,0,0,0,0,0,0,0,0,0,0,0
 2,6.45266981058622,2.76780438906431,1,3.98786641108347,3.71764911957513,1,3.85639935125863,5.30511414754118,0,6.45266981058622,0,0,0,0,0,0,0,0,0,0,0
 2,6.45266981058622,2.76780438906431,1,3.98786641108347,3.71764911957513,1,3.85639935125863,5.30511414754118,5,6.45266981058622,0,0,0,0,0,0,0,0,0,0,0
 2,6.45266981058622,2.76780438906431,1,3.98786641108347,3.71764911957513,1,3.85639935125863,5.30511414754118,5,6.45266981058622,5.71523169956902,1,0,0,0,0,0,0,0,0,0
