Camera,Boxplot_Min,Boxplot_Q1 (25%),Boxplot_Median (50%),Boxplot_Q3 (75%),Boxplot_Max,Performance_Best Performance,Performance_Worst Performance,Performance_Average Performance
Camera1_Performance,14.901905988000005,33.676334587,39.330314188,45.022127381,65.74673872400001,65.74673872400001,14.901905988000005,39.48276186407861
Camera2_Performance,15.99877024,33.863711025,39.994550862,45.448435699,64.30964954800001,64.30964954800001,15.99877024,39.813264428248004
Camera3_Performance,15.188994704,34.023194952000004,40.16277722,45.679269744,66.82280638,66.82280638,15.188994704,39.94198188401602
Camera4_Performance,4.634565136,20.733191932,28.95998257,38.905993742,61.13097926,61.13097926,4.634565136,29.961376384987766
Camera5_Performance,19.782233936,30.796447508000004,38.270632556,43.684798172,59.020576372,59.020576372,19.782233936,37.99101815390346
Camera6_Performance,16.876221448,35.132773278,41.03008664800001,46.066579574,60.80585286,60.80585286,16.876221448,40.672615044661704
